Rank;Sourceid;Title;Type;Issn;SJR Best Quartile;H index;Categories
1;28773;Ca-A Cancer Journal for Clinicians;journal;15424863,00079240;Q1;198;Hematology (Q1),Oncology (Q1)
2;20651;Annual Review of Immunology;journal;15453278,07320580;Q1;317;Immunology (Q1),Immunology and Allergy (Q1)
3;18991;Nature Reviews Genetics;journal;14710056,14710060;Q1;406;Genetics (Q1),Genetics (clinical) (Q1),Molecular Biology (Q1)
4;20315;Nature Reviews Molecular Cell Biology;journal;14710072,14710080;Q1;485;Cell Biology (Q1),Molecular Biology (Q1)
5;18434;Cell;journal;928674,10974172;Q1;856;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1)
6;21318;Nature Reviews Immunology;journal;14741741,14741730;Q1;444;Immunology (Q1),Medicine (miscellaneous) (Q1)
7;12464;Nature Reviews Cancer;journal;1474175X,14741768;Q1;484;Cancer Research (Q1),Oncology (Q1)
8;26651;Annual Review of Astronomy and Astrophysics;book series;15454282,00664150;Q1;200;Astronomy and Astrophysics (Q1),Space and Planetary Science (Q1)
9;16801;Annual Review of Biochemistry;journal;15454509,00664150;Q1;316;Biochemistry (Q1)
10;29719;Reviews of Modern Physics;journal;346861,15390756;Q1;372;Physics and Astronomy (miscellaneous) (Q1)
11;18990;Nature Genetics;journal;10614036,15461720;Q1;621;Genetics (Q1)
12;29431;Quarterly Journal of Economics;journal;335533,15314650;Q1;292;Economics and Econometrics (Q1)
13;21100778827;Nature Methods;journal;15487091,15487110;Q1;363;Biochemistry (Q1),Biotechnology (Q1),Cell Biology (Q1),Molecular Biology (Q1)
14;21206;Nature;journal;14764687,00280840;Q1;1331;Multidisciplinary (Q1)
15;19434;MMWR Recommendations and Reports;journal;10575987,15458600;Q1;151;Epidemiology (Q1),Health Information Management (Q1),Health (social science) (Q1),Health,Toxicology and Mutagenesis (Q1),Medicine (miscellaneous) (Q1)
16;5200152704;Nature Nanotechnology;journal;17483387,17483400;Q1;395;Atomic and Molecular Physics,and Optics (Q1),Bioengineering (Q1),Biomedical Engineering (Q1),Condensed Matter Physics (Q1),Electrical and Electronic Engineering (Q1),Materials Science (miscellaneous) (Q1),Nanoscience and Nanotechnology (Q1)
17;16115;Nature Biotechnology;journal;15461696,10870160;Q1;491;Applied Microbiology and Biotechnology (Q1),Bioengineering (Q1),Biomedical Engineering (Q1),Biotechnology (Q1),Molecular Medicine (Q1)
18;23340;Chemical Reviews;journal;15206890,00092670;Q1;790;Chemistry (miscellaneous) (Q1)
