Rank;Sourceid;Title;Type;Issn;SJR Best Quartile;H index;Categories
1;29719;Reviews of Modern Physics;journal;346861,15390756;Q1;372;Physics and Astronomy (miscellaneous) (Q1)
2;20651;Annual Review of Immunology;journal;15453278,07320580;Q1;317;Immunology (Q1),Immunology and Allergy (Q1)
3;16801;Annual Review of Biochemistry;journal;15454509,00664150;Q1;316;Biochemistry (Q1)
4;18434;Cell;journal;928674,10974172;Q1;856;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1)
5;14181;Annual Review of Neuroscience;journal;0147006X,15454126;Q1;256;Neuroscience (miscellaneous) (Q1)
6;18990;Nature Genetics;journal;10614036,15461720;Q1;621;Genetics (Q1)
7;18395;Annual Review of Cell and Developmental Biology;journal;15308995,10810710;Q1;233;Cell Biology (Q1),Developmental Biology (Q1)
8;24004;Physiological Reviews;journal;15221210,00319330;Q1;373;Medicine (miscellaneous) (Q1),Molecular Biology (Q1),Physiology (Q1),Physiology (medical) (Q1)
9;28773;Ca-A Cancer Journal for Clinicians;journal;15424863,00079240;Q1;198;Hematology (Q1),Oncology (Q1)
10;20315;Nature Reviews Molecular Cell Biology;journal;14710072,14710080;Q1;485;Cell Biology (Q1),Molecular Biology (Q1)
11;26651;Annual Review of Astronomy and Astrophysics;book series;15454282,00664150;Q1;200;Astronomy and Astrophysics (Q1),Space and Planetary Science (Q1)
12;12000154482;Annual Review of Biophysics;journal;19361238,1936122X;Q1;169;Biochemistry (Q1),Bioengineering (Q1),Biophysics (Q1),Cell Biology (Q1),Structural Biology (Q1)
13;21315;Nature Immunology;journal;15292908,15292920;Q1;424;Immunology (Q1)
14;29431;Quarterly Journal of Economics;journal;335533,15314650;Q1;292;Economics and Econometrics (Q1)
15;18606;Molecular Cell;journal;10974164,10972770;Q1;429;Cell Biology (Q1),Molecular Biology (Q1)
16;21706;Annual Review of Genetics;journal;15452948,00664200;Q1;195;Genetics (Q1)
17;21100326898;Acta Crystallographica Section A: Foundations and Advances;journal;20532733;Q1;88;Biochemistry (Q1),Condensed Matter Physics (Q1),Inorganic Chemistry (Q1),Materials Science (miscellaneous) (Q1),Physical and Theoretical Chemistry (Q1),Structural Biology (Q1)
18;16721;Annual Review of Plant Biology;journal;15452123,15435010;Q1;286;Cell Biology (Q1),Molecular Biology (Q1),Physiology (Q1),Plant Science (Q1)
19;19014;Nature Cell Biology;journal;14764679,14657390;Q1;396;Cell Biology (Q1)
20;20798;Immunity;journal;10974180,10747610;Q1;436;Immunology (Q1),Immunology and Allergy (Q1),Infectious Diseases (Q1)
21;23340;Chemical Reviews;journal;15206890,00092670;Q1;790;Chemistry (miscellaneous) (Q1)
22;26978;Advances in Physics;journal;14606976,00018730;Q1;121;Condensed Matter Physics (Q1)
23;17899;Progress in Materials Science;journal;18732208,00796430;Q1;210;Materials Science (miscellaneous) (Q1)
24;17854;Nature Materials;journal;14764660,14761120;Q1;533;Chemistry (miscellaneous) (Q1),Condensed Matter Physics (Q1),Materials Science (miscellaneous) (Q1),Mechanical Engineering (Q1),Mechanics of Materials (Q1)
25;22126;Genes and Development;journal;15495477,08909370;Q1;467;Developmental Biology (Q1),Genetics (Q1)
26;21206;Nature;journal;14764687,00280840;Q1;1331;Multidisciplinary (Q1)
27;29093;Cancer Cell;journal;15356108,18783690;Q1;378;Cancer Research (Q1),Cell Biology (Q1),Oncology (Q1)
28;18503;Current Opinion in Cell Biology;journal;9550674,18790410;Q1;275;Cell Biology (Q1)
29;17500;Journal of Finance;journal;221082,15406261;Q1;336;Accounting (Q1),Economics and Econometrics (Q1),Finance (Q1)
30;120008;Annual Review of Physiology;journal;664278,15451585;Q1;228;Physiology (Q1)
