Rank;Sourceid;Title;Type;Issn;SJR Best Quartile;H index;Categories
1;28773;Ca-A Cancer Journal for Clinicians;journal;15424863,00079240;Q1;198;Hematology (Q1),Oncology (Q1)
2;29719;Reviews of Modern Physics;journal;346861,15390756;Q1;372;Physics and Astronomy (miscellaneous) (Q1)
3;20651;Annual Review of Immunology;journal;15453278,07320580;Q1;317;Immunology (Q1),Immunology and Allergy (Q1)
4;18991;Nature Reviews Genetics;journal;14710056,14710060;Q1;406;Genetics (Q1),Genetics (clinical) (Q1),Molecular Biology (Q1)
5;18434;Cell;journal;928674,10974172;Q1;856;Biochemistry,Genetics and Molecular Biology (miscellaneous) (Q1)
6;21318;Nature Reviews Immunology;journal;14741741,14741730;Q1;444;Immunology (Q1),Medicine (miscellaneous) (Q1)
7;29431;Quarterly Journal of Economics;journal;335533,15314650;Q1;292;Economics and Econometrics (Q1)
8;12464;Nature Reviews Cancer;journal;1474175X,14741768;Q1;484;Cancer Research (Q1),Oncology (Q1)
9;20315;Nature Reviews Molecular Cell Biology;journal;14710072,14710080;Q1;485;Cell Biology (Q1),Molecular Biology (Q1)
10;18990;Nature Genetics;journal;10614036,15461720;Q1;621;Genetics (Q1)
11;16801;Annual Review of Biochemistry;journal;15454509,00664150;Q1;316;Biochemistry (Q1)
12;26651;Annual Review of Astronomy and Astrophysics;book series;15454282,00664150;Q1;200;Astronomy and Astrophysics (Q1),Space and Planetary Science (Q1)
13;17500;Journal of Finance;journal;221082,15406261;Q1;336;Accounting (Q1),Economics and Econometrics (Q1),Finance (Q1)
14;19482;Econometrica;journal;129682,14680262;Q1;213;Economics and Econometrics (Q1)
15;19434;MMWR Recommendations and Reports;journal;10575987,15458600;Q1;151;Epidemiology (Q1),Health Information Management (Q1),Health (social science) (Q1),Health,Toxicology and Mutagenesis (Q1),Medicine (miscellaneous) (Q1)
16;18395;Annual Review of Cell and Developmental Biology;journal;15308995,10810710;Q1;233;Cell Biology (Q1),Developmental Biology (Q1)
17;14181;Annual Review of Neuroscience;journal;0147006X,15454126;Q1;256;Neuroscience (miscellaneous) (Q1)
18;21206;Nature;journal;14764687,00280840;Q1;1331;Multidisciplinary (Q1)
19;24004;Physiological Reviews;journal;15221210,00319330;Q1;373;Medicine (miscellaneous) (Q1),Molecular Biology (Q1),Physiology (Q1),Physiology (medical) (Q1)
20;23340;Chemical Reviews;journal;15206890,00092670;Q1;790;Chemistry (miscellaneous) (Q1)
21;5200152704;Nature Nanotechnology;journal;17483387,17483400;Q1;395;Atomic and Molecular Physics,and Optics (Q1),Bioengineering (Q1),Biomedical Engineering (Q1),Condensed Matter Physics (Q1),Electrical and Electronic Engineering (Q1),Materials Science (miscellaneous) (Q1),Nanoscience and Nanotechnology (Q1)
22;24404;Journal of Political Economy;journal;00223808,1537534X;Q1;207;Economics and Econometrics (Q1)
23;16115;Nature Biotechnology;journal;15461696,10870160;Q1;491;Applied Microbiology and Biotechnology (Q1),Bioengineering (Q1),Biomedical Engineering (Q1),Biotechnology (Q1),Molecular Medicine (Q1)
24;21706;Annual Review of Genetics;journal;15452948,00664200;Q1;195;Genetics (Q1)
25;20798;Immunity;journal;10974180,10747610;Q1;436;Immunology (Q1),Immunology and Allergy (Q1),Infectious Diseases (Q1)
26;15847;New England Journal of Medicine;journal;284793,15334406;Q1;1130;Medicine (miscellaneous) (Q1)
27;19014;Nature Cell Biology;journal;14764679,14657390;Q1;396;Cell Biology (Q1)
28;21100778827;Nature Methods;journal;15487091,15487110;Q1;363;Biochemistry (Q1),Biotechnology (Q1),Cell Biology (Q1),Molecular Biology (Q1)
29;19700188417;Annual Review of Condensed Matter Physics;journal;19475454,19475460;Q1;81;Condensed Matter Physics (Q1),Materials Science (miscellaneous) (Q1)
30;4000151822;Nature Physics;journal;17452473;Q1;315;Physics and Astronomy (miscellaneous) (Q1)
31;17437;Nature Reviews Neuroscience;journal;14710048,1471003X;Q1;455;Neuroscience (miscellaneous) (Q1)
32;17854;Nature Materials;journal;14764660,14761120;Q1;533;Chemistry (miscellaneous) (Q1),Condensed Matter Physics (Q1),Materials Science (miscellaneous) (Q1),Mechanical Engineering (Q1),Mechanics of Materials (Q1)
33;29093;Cancer Cell;journal;15356108,18783690;Q1;378;Cancer Research (Q1),Cell Biology (Q1),Oncology (Q1)
34;22214;Genome Research;journal;15495469,10889050;Q1;319;Genetics (Q1),Genetics (clinical) (Q1)
35;21315;Nature Immunology;journal;15292908,15292920;Q1;424;Immunology (Q1)
36;5700165152;Nature Photonics;journal;17494885;Q1;362;Atomic and Molecular Physics,and Optics (Q1),Electronic,Optical and Magnetic Materials (Q1)
37;19900191906;Academy of Management Annals;journal;19416520,19416070;Q1;95;Business and International Management (Q1),Organizational Behavior and Human Resource Management (Q1)
38;11300153736;Annual Review of Pathology: Mechanisms of Disease;journal;15534006,15534010;Q1;143;Medicine (miscellaneous) (Q1),Pathology and Forensic Medicine (Q1),Plant Science (Q1)
39;6100153018;Cell Stem Cell;journal;19345909;Q1;287;Cell Biology (Q1),Genetics (Q1),Molecular Medicine (Q1)
40;20206;Academy of Management Review;journal;3637425;Q1;293;Business,Management and Accounting (miscellaneous) (Q1),Management of Technology and Innovation (Q1),Strategy and Management (Q1)
41;16590;Lancet,The;journal;01406736,1474547X;Q1;855;Medicine (miscellaneous) (Q1)
42;12354;Lancet Oncology,The;journal;14702045,14745490;Q1;382;Oncology (Q1)
43;23350;Chemical Society Reviews;journal;3060012,14604744;Q1;595;Chemistry (miscellaneous) (Q1)
44;27165;Journal of Economic Literature;journal;220515;Q1;173;Economics and Econometrics (Q1)
45;16161;Review of Financial Studies;journal;14657368,08939450;Q1;218;Accounting (Q1),Economics and Econometrics (Q1),Finance (Q1)
46;24202;Review of Economic Studies;journal;00346527,1467937X;Q1;158;Economics and Econometrics (Q1)
47;18606;Molecular Cell;journal;10974164,10972770;Q1;429;Cell Biology (Q1),Molecular Biology (Q1)
48;16721;Annual Review of Plant Biology;journal;15452123,15435010;Q1;286;Cell Biology (Q1),Molecular Biology (Q1),Physiology (Q1),Plant Science (Q1)
49;20313;Nature Reviews Microbiology;journal;17401534,17401530;Q1;349;Immunology and Microbiology (miscellaneous)  (Q1)
50;24379;Journal of Financial Economics;journal;0304405X;Q1;289;Accounting (Q1),Economics and Econometrics (Q1),Finance (Q1),Strategy and Management (Q1)
51;17436;Nature Neuroscience;journal;10976256,15461730;Q1;460;Neuroscience (miscellaneous) (Q1)
52;22471;Lancet Infectious Diseases,The;journal;14744457,14733100;Q1;273;Infectious Diseases (Q1)
53;17978;Neuron;journal;10974199,08966270;Q1;511;Neuroscience (miscellaneous) (Q1)
54;12010;Annual Review of Psychology;journal;664308,15452085;Q1;266;Psychology (miscellaneous) (Q1)
